departamento,ano,semana,casos,fecha,año,mes,trimestre,semana_año,dia_año,mes_sin,mes_cos,semana_sin,semana_cos,casos_lag_1,casos_lag_2,casos_lag_4,casos_lag_8,casos_lag_12,casos_ma_4,casos_std_4,casos_max_4,casos_ma_8,casos_std_8,casos_max_8,casos_ma_12,casos_std_12,casos_max_12,casos_ma_26,casos_std_26,casos_max_26,casos_diff_1,casos_pct_change_1,casos_diff_4,casos_pct_change_4,casos_diff_52,casos_pct_change_52,casos_media_region,casos_std_region,casos_max_region,casos_min_region,casos_ratio_media,casos_zscore,anomalia_if,score_if,anomalia_lof,anomalia_ocsvm,anomalia_consenso,media_historica,std_historica,nivel_riesgo,nivel_estadistico,nivel_anomalia,z_score,consenso_modelos,casos_actual,media_historica.1,desviacion_media,porcentaje_incremento
JUNIN,2021,50,183,2021-12-13,2021,12,4,50,347,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,182.0,193.0,206.0,105.0,56.0,189.0,7.788880963698644,198.0,171.125,32.37475868635935,206.0,140.5,53.51210568222348,206.0,89.15384615384616,61.18411055670733,206.0,1.0,0.0054945054945054,-23.0,-0.1116504854368931,-12.0,-0.0615384615384615,25.85395537525355,38.286801341036,211,1,7.078220618233171,4.10444432860774,1,-0.6504452597218717,0,1,1,94.78846153846152,48.35057293837462,alto,bajo,alto,1.824415577742352,2,183,94.78846153846152,88.21153846153847,93.06147291539868
JUNIN,2021,51,129,2021-12-20,2021,12,4,51,354,-2.4492935982947064e-16,1.0,-0.1205366802553236,0.992708874098054,183.0,182.0,198.0,130.0,50.0,171.75,28.929512036442425,193.0,171.0,32.55764119219942,206.0,147.08333333333334,45.64777866413323,206.0,90.96153846153848,61.65677952616778,206.0,-54.0,-0.2950819672131147,-69.0,-0.3484848484848485,-10.0,-0.0719424460431654,25.85395537525355,38.286801341036,211,1,4.989565353836498,2.694036613452844,1,-0.6532127283801769,0,1,1,94.5576923076923,47.88933872165694,alto,normal,alto,0.7192061659588523,2,129,94.5576923076923,34.44230769230769,36.42464917632703
JUNIN,2021,52,101,2021-12-27,2021,12,4,52,361,-2.4492935982947064e-16,1.0,6.432490598706546e-16,1.0,129.0,183.0,193.0,118.0,73.0,148.75,40.61506288722614,183.0,168.875,36.79067234270898,206.0,149.41666666666666,42.093960554354055,206.0,92.57692307692308,61.33525777359909,206.0,-28.0,-0.2170542635658915,-92.0,-0.4766839378238342,56.0,1.2444444444444445,25.85395537525355,38.286801341036,211,1,3.9065589204456304,1.962714094483639,1,-0.6398536361526015,1,0,1,94.3653846153846,47.72717762620056,alto,normal,alto,0.1390112660039887,2,101,94.3653846153846,6.634615384615387,7.030772366007747
JUNIN,2022,1,108,2022-01-03,2022,1,1,1,3,0.4999999999999999,0.8660254037844387,0.120536680255323,0.992708874098054,101.0,129.0,182.0,159.0,89.0,130.25,37.12478956169314,183.0,162.5,42.6915849854679,206.0,151.0,39.915820513584926,206.0,94.65384615384616,60.88937004613683,206.0,7.0,0.0693069306930693,-74.0,-0.4065934065934066,-31.0,-0.2230215827338129,25.85395537525355,38.286801341036,211,1,4.177310528793347,2.14554472422594,1,-0.6448699156067478,0,0,0,95.4423076923077,47.22055611765215,medio,normal,medio,0.2659369846556709,1,108,95.4423076923077,12.557692307692308,13.15736449727987
JUNIN,2022,2,77,2022-01-10,2022,1,1,2,10,0.4999999999999999,0.8660254037844387,0.2393156642875577,0.970941817426052,108.0,101.0,183.0,206.0,105.0,103.75,21.43789479714213,129.0,146.375,47.95217111128248,198.0,148.66666666666666,43.506182075515184,206.0,96.07692307692308,59.98661389138286,206.0,-31.0,-0.2870370370370371,-106.0,-0.5792349726775956,17.0,0.2833333333333334,25.85395537525355,38.286801341036,211,1,2.9782676918248865,1.335866221081463,1,-0.6462221183963168,0,0,0,94.84615384615384,46.85412682574847,medio,normal,medio,-0.3808875558074976,1,77,94.84615384615384,-17.84615384615384,-18.815896188158955
JUNIN,2022,3,76,2022-01-17,2022,1,1,3,17,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,77.0,108.0,129.0,198.0,130.0,90.5,16.42153058233814,108.0,131.125,48.58405823195211,193.0,144.16666666666666,48.156625775282535,206.0,96.53846153846152,59.77573472186237,206.0,-1.0,-0.0129870129870129,-53.0,-0.4108527131782945,14.0,0.2258064516129032,25.85395537525355,38.286801341036,211,1,2.9395888906323555,1.3097475596897057,1,-0.6294481501588632,0,0,0,95.17307692307692,46.66514891951214,medio,normal,medio,-0.4108650109773905,1,76,95.17307692307692,-19.17307692307692,-20.145483936148715
JUNIN,2022,4,76,2022-01-24,2022,1,1,4,24,0.4999999999999999,0.8660254037844387,0.4647231720437685,0.8854560256532099,76.0,77.0,101.0,193.0,118.0,84.25,15.840349322747484,108.0,116.5,44.75648396760917,183.0,140.66666666666666,51.63214878231185,206.0,98.1153846153846,58.61694425544677,206.0,0.0,0.0,-25.0,-0.2475247524752475,-8.0,-0.0952380952380952,25.85395537525355,38.286801341036,211,1,2.9395888906323555,1.3097475596897057,1,-0.5960579211986075,0,0,0,95.4423076923077,46.51013529077526,medio,normal,medio,-0.4180230302654881,1,76,95.4423076923077,-19.442307692307693,-20.370743501914166
JUNIN,2022,5,88,2022-01-31,2022,1,1,5,31,0.4999999999999999,0.8660254037844387,0.5680647467311558,0.8229838658936564,76.0,76.0,108.0,182.0,159.0,79.25,5.852349955359816,88.0,104.75,36.72192805395708,183.0,134.75,53.378792179530016,206.0,100.1153846153846,57.28478117132118,206.0,12.0,0.1578947368421053,-20.0,-0.1851851851851852,15.0,0.2054794520547944,25.85395537525355,38.286801341036,211,1,3.4037345049427272,1.6231714963907935,1,-0.5947133652965839,0,0,0,95.28846153846152,46.56192862829816,medio,normal,medio,-0.1565326384275231,1,88,95.28846153846152,-7.288461538461533,-7.648839556004031
JUNIN,2022,6,85,2022-02-07,2022,2,1,6,38,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,88.0,76.0,77.0,183.0,206.0,81.25,6.184658438426494,88.0,92.5,18.92088792842449,129.0,124.66666666666669,50.01878435026974,198.0,102.3846153846154,55.36791628593362,206.0,-3.0,-0.034090909090909,8.0,0.1038961038961039,24.0,0.3934426229508196,25.85395537525355,38.286801341036,211,1,3.2876981013651343,1.5448155122155216,0,-0.5753871193443175,0,0,0,95.57692307692308,46.46750758255867,normal,normal,normal,-0.2276197632965593,0,85,95.57692307692308,-10.57692307692308,-11.066398390342057
JUNIN,2022,7,63,2022-02-14,2022,2,1,7,45,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,85.0,88.0,76.0,129.0,198.0,78.0,11.224972160321826,88.0,84.25,14.636061140699208,108.0,113.41666666666669,47.12354812488964,193.0,103.5,54.21531149038987,206.0,-22.0,-0.2588235294117647,-13.0,-0.1710526315789473,-12.0,-0.16,25.85395537525355,38.286801341036,211,1,2.4367644751294524,0.9702049615968602,0,-0.5668976257853763,0,0,0,96.03846153846152,46.23595135375427,normal,normal,normal,-0.7145621658281046,0,63,96.03846153846152,-33.03846153846153,-34.40128153784541
JUNIN,2022,8,68,2022-02-21,2022,2,1,8,52,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,63.0,85.0,76.0,101.0,193.0,76.0,12.355835328567094,88.0,80.125,13.871218918527456,108.0,103.0,41.40048308896894,183.0,104.96153846153848,52.644073375247686,206.0,5.0,0.0793650793650793,-8.0,-0.1052631578947368,5.0,0.0793650793650793,25.85395537525355,38.286801341036,211,1,2.630158481092108,1.1007982685556468,0,-0.5494978064799179,0,0,0,95.8076923076923,46.37276011673932,normal,normal,normal,-0.5996557513007399,0,68,95.8076923076923,-27.807692307692307,-29.02448815736652
JUNIN,2022,9,87,2022-02-28,2022,2,1,9,59,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,68.0,63.0,88.0,108.0,182.0,75.75,12.038133853162902,87.0,77.5,8.960229588895253,88.0,95.08333333333331,33.189424200908974,183.0,107.23076923076924,50.41849477507848,206.0,19.0,0.2794117647058822,-1.0,-0.0113636363636363,-17.0,-0.1634615384615384,25.85395537525355,38.286801341036,211,1,3.365055703750196,1.5970528349990365,0,-0.5541033638923422,0,0,0,95.90384615384616,46.30853883713859,normal,normal,normal,-0.1922722326687932,0,87,95.90384615384616,-8.90384615384616,-9.28413876077803
JUNIN,2022,10,70,2022-03-07,2022,3,1,10,66,1.0,6.123233995736766e-17,0.9350162426854148,0.3546048870425355,87.0,68.0,85.0,77.0,183.0,72.0,10.424330514074596,87.0,76.625,9.349369726656125,88.0,85.66666666666667,18.956089610817354,129.0,108.26923076923076,49.30846393251989,206.0,-17.0,-0.1954022988505747,-15.0,-0.1764705882352941,-43.0,-0.3805309734513274,25.85395537525355,38.286801341036,211,1,2.7075160834771697,1.1530355913391614,0,-0.5418216280512181,0,1,0,95.57692307692308,46.31026911648247,medio,normal,medio,-0.5522948487427359,1,70,95.57692307692308,-25.57692307692308,-26.76056338028169
JUNIN,2022,11,65,2022-03-14,2022,3,1,11,73,1.0,6.123233995736766e-17,0.970941817426052,0.239315664287558,70.0,87.0,63.0,76.0,129.0,72.5,9.882644720249068,87.0,75.25,10.222524150130422,88.0,80.33333333333333,14.015143325141109,108.0,109.03846153846152,48.430140011551295,206.0,-5.0,-0.0714285714285714,2.0,0.0317460317460318,-54.0,-0.453781512605042,25.85395537525355,38.286801341036,211,1,2.5141220775145143,1.0224422843803749,0,-0.5271202998331597,0,0,0,94.75,46.37691912418271,normal,normal,normal,-0.6414828876480327,0,65,94.75,-29.75,-31.398416886543533
